Parameters2,,,,,,,,,,,,,
,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,SIS2A ADDRESS,SIS2B ADDRESS,SIS1A ADDRESS,SIS1B ADDRESS,PLC TAG,REMARK
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B6-1,ALARM,SERIAL MODBUS,111,351,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B6-2,ALARM,MODBUS TCP,,,116,356,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (FREE) - Connexium,400V,B6-3,ALARM,MODBUS TCP,,,117,357,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B6-4,ALARM,MODBUS TCP,,,118,358,COMM.LINK,
1,063-CP-850000-011,SEPAM C83,BUS TIE BC,400V,BC-1,ALARM,IEC 61850,,,119,359,COMM.LINK,
1,063-CP-850000-011,SEPAM T87,INCOMER-C,400V,C-1,ALARM,IEC 61850,,,120,360,COMM.LINK,
1,063-CP-850000-011,SEPAM T81,INCOMER-C PROTECTION,400V,C-1,ALARM,IEC 61850,,,121,361,COMM.LINK,
1,063-CP-850000-011,TESYST,LIGHTING DB 062-0200-LDB-50736-SGP2A,400V,C1-1,ALARM,MODBUS TCP,,,122,362,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,C1-2,ALARM,SERIAL MODBUS,112,352,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,C1-3,ALARM,SERIAL MODBUS,113,353,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,C1-4,ALARM,SERIAL MODBUS,114,354,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,C1-5,ALARM,SERIAL MODBUS,115,355,,,COMM.LINK,
1,063-CP-850000-011,NSX,HVAC SYSTEM NORMAL FEEDER,400V,C1-6,ALARM,SERIAL MODBUS,116,356,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,C2-1,ALARM,MODBUS TCP,,,123,363,COMM.LINK,
1,063-CP-850000-011,NSX,AC UPS1 INC 2 063-9700-UPS-50803,400V,C2-2,ALARM,SERIAL MODBUS,117,357,,,COMM.LINK,
1,063-CP-850000-011,NSX,DC UPS1 INC 2 063-9700-UPS-50804,400V,C2-3,ALARM,SERIAL MODBUS,118,358,,,COMM.LINK,
1,063-CP-850000-011,NSX,LIGHING DB 063-9700-LDB-50811,400V,C2-4,ALARM,SERIAL MODBUS,119,359,,,COMM.LINK,
